State	Year	Quarter	Payment_Type	Transaction_Count	Amount
State	2024	2	Merchant payments	14634736361	6.80094E+12
State	2024	2	Peer-to-peer payments	7929923251	2.38178E+13
State	2024	2	Recharge & bill payments	1443979969	1.17903E+12
State	2024	2	Financial Services	8865844	14501331707
State	2024	2	Others	8700101	8229697142
State	2024	3	Merchant payments	15826083595	7.13249E+12
State	2024	3	Peer-to-peer payments	8566984108	2.39639E+13
State	2024	3	Recharge & bill payments	1409788062	1.22478E+12
State	2024	3	Financial Services	10798565	17450358563
State	2024	3	Others	7361054	8309733368
State	2024	4	Merchant payments	17419191808	8.08143E+12
State	2024	4	Peer-to-peer payments	9368204284	2.66339E+13
State	2024	4	Recharge & bill payments	1392529171	1.25597E+12
State	2024	4	Financial Services	32113340	18162331751
India	2024	4	Others	7217236	9369386297

