State,Year,Quarter,Payment_Type,Transaction_Count,Amount
India,2023,4,Financial Services,7517384,9998159518.0
India,2023,4,Others,8651416,6391200449.0
India,2024,1,Merchant payments,12520741960,5962442621632.0
India,2024,1,Peer-to-peer payments,7335480797,22327480157794.0
India,2024,1,Recharge & bill payments,1365204965,1150335013422.0
India,2024,1,Financial Services,7419656,11806228360.0
India,2024,1,Others,8290191,6518078355.0
India,2024,2,Merchant payments,14634736361,6800938567813.0
India,2024,2,Peer-to-peer payments,7929923251,23817818323139.0
India,2024,2,Recharge & bill payments,1443979969,1179029035046.0
India,2024,2,Financial Services,8865844,14501331707.0
India,2024,2,Others,8700101,8229697142.0
India,2024,3,Merchant payments,15826083595,7132485242978.0
India,2024,3,Peer-to-peer payments,8566984108,23963938754607.0
India,2024,3,Recharge & bill payments,1409788062,1224783540794.0
India,2024,3,Financial Services,10798565,17450358563.0
India,2024,3,Others,7361054,8309733368.0
India,2024,4,Merchant payments,17419191808,8081429560226.0
India,2024,4,Peer-to-peer payments,9368204284,26633866936498.0
India,2024,4,Recharge & bill payments,1392529171,1255972669825.0
India,2024,4,Financial Services,32113340,18162331751.0
India,2024,4,Others,7217236,9369386297.0
